idiom,freq
市场经济,50247
乡镇企业,20258
经济效益,18915
领导干部,18137
精神文明,15432
知识产权,9239
实事求是,8531
社会科学,8368
生活水平,8016
发展经济,7987
调查研究,7856
社会稳定,7539
通货膨胀,7420
计划生育,6987
计划经济,6697
充分利用,6575
投资环境,6366
综合治理,6315
艰苦奋斗,6292
解放思想,6176
一国两制,5965
千方百计,5632
市场需求,5623
前所未有,5482
无论如何,5444
引人注目,5373
东道主,5187
热烈欢迎,5131
生活方式,5115
协调发展,5090
信息产业,4926
合资企业,4888
社会效益,4826
坚定不移,4825
迄今为止,4603
至关重要,4531
全心全意,4471
了不起,4378
顺利进行,4279
廉政建设,4245
人均收入,4182
不可避免,4143
各种各样,4135
假冒伪劣,4132
丰富多彩,3790
睦邻友好,3780
脱贫致富,3770
小康社会,3609
实实在在,3599
不好意思,3541
成千上万,3515
直接投资,3443
多种经营,3437
意识形态,3415
中外合资,3389
职业道德,3388
关键时刻,3385
尽管如此,3352
当务之急,3317
市场机制,3306
毫无疑问,3291
基本建设,3224
资本市场,3215
扎扎实实,3199
和平共处,3178
一如既往,3146
系统工程,3041
物质文明,3030
招商引资,3019
因地制宜,3005
人生观,2995
不正之风,2993
脱颖而出,2962
全力以赴,2948
不知不觉,2879
坚持不懈,2864
不可思议,2861
圆满成功,2842
卓有成效,2839
无可奈,2791
无可奈何,2784
由此可见,2761
知名人士,2726
艰苦创业,2712
总结经验,2697
平等互利,2695
供不应求,2682
各行各业,2665
莫名其妙,2653
众所周知,2639
良性循环,2616
独立自主,2604
许许多多,2538
举世瞩目,2536
里程碑,2523
一条龙,2494
综合国力,2466
社会制度,2460
行政法规,2457
理所当然,2398
大吃一惊,2384
切身利益,2365
千家万户,2360
行之有效,2343
一把手,2339
小心翼翼,2315
大大小小,2312
举足轻重,2292
退耕还林,2286
四面八方,2285
信息服务,2264
不可分割,2236
想方设法,2235
市场份额,2234
兴致勃勃,2230
生活质量,2218
科教兴国,2217
一年一度,2203
经验教训,2203
人际关系,2192
有史以来,2178
自力更生,2157
源远流长,2128
必不可少,2119
与时俱进,2091
令人满意,2081
全民公决,2078
有识之士,2074
议事日程,2058
显而易见,2057
售后服务,1980
名副其实,1970
出人意料,1955
居高不下,1955
认真落实,1947
哈哈大笑,1944
得天独厚,1944
团结一致,1938
多边贸易,1932
初级阶段,1925
清清楚楚,1921
源源不断,1921
与众不同,1915
自言自语,1886
切实可行,1875
日新月异,1872
严重后果,1870
行政处罚,1867
完成任务,1858
市场营销,1852
毫不犹豫,1852
以人为本,1844
络绎不绝,1844
可想而知,1841
不以为然,1838
弄虚作假,1836
来之不易,1835
见义勇为,1833
生产方式,1830
综合利用,1830
不约而同,1828
民主集中制,1821
风景名胜,1817
应运而生,1810
情不自禁,1809
施加压力,1804
传统产业,1771
联系实际,1771
自负盈亏,1761
自主经营,1751
排忧解难,1728
大街小巷,1724
航空母舰,1723
竭尽全力,1722
人才市场,1714
初具规模,1702
上安,1697
深入人心,1685
廉洁自律,1679
各式各样,1665
齐心协力,1639
不由自主,1630
名列前茅,1617
自然而然,1614
重复建设,1607
市场信息,1601
自古以来,1590
后顾之忧,1589
错综复杂,1588
兴高采烈,1583
融为一体,1576
意想不到,1574
形形色色,1569
一动不动,1567
反腐倡廉,1567
主人翁,1566
不知所措,1555
突如其来,1553
家喻户晓,1552
一模一样,1547
统一思想,1546
惊心动魄,1535
经验丰富,1534
令人瞩目,1531
无家可归,1519
文艺复兴,1514
新闻人物,1505
下落不明,1502
层出不穷,1500
一席之地,1496
生产关系,1488
人不知,1487
安居乐业,1485
多种多样,1478
霸权主义,1478
形而上学,1475
千千万万,1473
履行职责,1472
联合行动,1469
讨价还价,1469
截然不同,1459
重建家园,1458
愈演愈烈,1456
所作所为,1455
独一无二,1455
微不足道,1451
难以置信,1438
植树造林,1435
长治久安,1420
吓了一跳,1418
无形资产,1417
社会关系,1415
不可或缺,1408
自由主义,1400
不一会儿,1399
息息相关,1396
此时此刻,1392
干干净净,1387
发扬光大,1385
老老实实,1378
一无所知,1374
力所能及,1367
发动群众,1362
宣誓就职,1362
实力雄厚,1355
振兴中华,1355
再接再厉,1352
扭亏为盈,1342
无能为力,1340
脚踏实地,1340
上上下下,1334
聪明才智,1333
突飞猛进,1332
轰轰烈烈,1332
不失时机,1331
身心健康,1331
市场调查,1320
自强不息,1315
势在必行,1311
以权谋私,1306
轻而易举,1305
玩忽职守,1298
大锅饭,1296
独资企业,1293
有利时机,1286
群众路线,1281
刻不容缓,1278
一丝不苟,1276
先进工作者,1276
付诸实施,1273
优胜劣汰,1269
恰恰相反,1265
炎黄子孙,1262
理直气壮,1261
五花八门,1259
刮目相看,1258
子孙后代,1256
任重道远,1250
陷入困境,1250
琳琅满目,1243
难能可贵,1242
各不相同,1237
紧锣密鼓,1237
生活习惯,1233
古今中外,1232
义不容辞,1231
自筹资金,1231
难以想象,1231
目瞪口呆,1226
兴旺发达,1223
求同存异,1222
迫在眉睫,1220
亲身经历,1218
相辅相成,1215
不折不扣,1210
循序渐进,1210
更进一步,1210
亲朋好友,1208
有所作为,1208
耐人寻味,1206
世世代代,1205
忧心忡忡,1204
生动活泼,1204
意味深长,1203
自始至终,1198
默默无闻,1198
抗美援朝,1194
初见成效,1189
无动于衷,1188
抢险救灾,1186
迫不及待,1186
一心一意,1185
顾全大局,1183
取而代之,1180
家家户户,1178
人身安全,1174
下定决心,1172
必由之路,1172
战略决策,1167
鲜为人知,1166
乱七八糟,1164
繁荣昌盛,1162
异军突起,1161
精神面貌,1161
日日夜夜,1159
不言而喻,1158
大不相同,1158
尽如人意,1153
当家作主,1150
或多或少,1150
基本解决,1149
不遗余力,1148
拔地而起,1147
恶性循环,1146
出乎意料,1145
如愿以偿,1142
文艺创作,1139
滔滔不绝,1139
身体力行,1139
令人鼓舞,1137
栩栩如生,1137
一言不发,1134
激动人心,1132
眼花缭乱,1131
淋漓尽致,1127
亲眼目睹,1126
直截了当,1124
耳目一新,1118
生机勃勃,1117
触目惊心,1117
总而言之,1116
不败之地,1115
为数不多,1113
归根到底,1113
自己人,1113
密不可分,1112
德才兼备,1112
热情洋溢,1112
以身作则,1107
拜金主义,1107
风风雨雨,1107
聚精会神,1103
兢兢业业,1101
后来居上,1101
此起彼伏,1096
史无前例,1090
社会结构,1089
无济于事,1086
建功立业,1085
滥用职权,1084
立于不败,1084
统筹规划,1081
父老乡亲,1074
方兴未艾,1073
比比皆是,1072
市场调节,1071
有条不紊,1070
不顾一切,1068
遵纪守法,1066
有朝一日,1065
立于不败之地,1065
一目了然,1063
随心所欲,1063
掉以轻心,1058
安定团结,1057
通力合作,1056
争先恐后,1053
断断续续,1053
翻天覆地,1050
有声有色,1049
不动声色,1044
最后通牒,1039
挺身而出,1034
更新换代,1034
风云变幻,1034
继往开来,1032
纷至沓来,1031
数以万计,1030
高高兴兴,1026
记忆犹新,1025
一举一动,1023
扭亏增盈,1023
旗帜鲜明,1022
热泪盈眶,1022
献计献策,1022
视而不见,1021
万无一失,1016
