x,y
一半,3
一点点,3
一通,2
不 太,0
不,1
不信,1
不值得,1
不再,1
不准,1
不可估计,2
不可估计地,2
不可估计的,2
不可估量 地,2
不可估量 的,2
不可估量,2
不可估量地,2
不可估量的,2
不可否认,2
不在乎,1
不在于,1
不够,0
不大会,0
不太,0
不如,1
不如说,2
不嫌,1
不应,1
不得不说,2
不必,1
不怎么,0
不敢,1
不是 一般 的,2
不是,1
不是一般的,2
不曾 想到,1
不曾,1
不曾想到,1
不甚,3
不用,1
不管,5
不能,1
不至于,3
不要,1
不觉得,1
不计其数 地,2
不计其数 的,2
不计其数,2
不计其数地,2
不计其数的,2
不许,1
不该,1
不过,4
不需,1
不须,1
与其说,1
丝毫,2
主要 地,2
主要,2
主要地,2
主要的,2
乍看,1
也不,1
也许,3
事实上,2
亏得,1
些许,3
仅,3
仅仅,3
仅限于,3
从不,1
从未,1
从没,1
以免,1
休,1
休要,1
但,4
但是,4
偏偏,2
偶尔,3
充其量,3
全然 地,2
全然 的,2
全然,2
全然地,2
全然的,2
全程,2
关键 地,2
关键 的,2
关键,2
关键地,2
关键的,2
其实,2
决不,1
决定性 地,2
决定性 的,2
决定性,2
决定性地,2
决定性的,2
凑合,3
几乎,3
切勿,1
切莫,1
则,2
别,1
别让,1
剧烈 地,2
剧烈 的,2
剧烈,2
剧烈地,2
剧烈的,2
加倍 地,2
加倍 的,2
加倍,2
加倍地,2
加倍的,2
勉强,3
勿,1
十分,2
十足 地,2
十足 的,2
十足,2
十足地,2
十足的,2
即使,5
即便,5
却,2
原 以为,1
原以为,1
原本 以为,1
原来 以为,1
只,3
只不过,3
只是,3
只有,3
可是,4
可能,3
各种,2
否,1
否决,1
否定,1
否认,1
哪怕,5
唯一,3
在某种程度上,3
基本,3
基本的,2
堪称,2
多数 地,2
多数 的,2
多数,2
多数地,2
多数的,2
够不上,0
大体,3
大体上,3
大多数 地,2
大多数 的,2
大多数,2
大多数地,2
大多数的,2
大大,2
大量 地,2
大量 的,2
大量,2
大量地,2
大量的,2
太,2
太过,0
奇大无比,2
好2,2
好像,3
如此,2
完全 地,2
完全 的,2
完全,2
完全地,2
完全的,2
实在,2
实际上,2
少数 地,3
少数 的,3
少数,3
少数地,3
少数的,3
尚未,1
尤其,2
就是,2
尽管,5
尽量,2
居然 还是,1
居然,2
巨大 地,2
巨大 的,2
巨大,2
巨大地,2
巨大的,2
差不多,3
差点,3
差点儿,3
常常,2
并非,1
