word,freq,rank
的,296152,1
是,83681,2
一,62297,3
在,60920,4
了,47602,5
有,46759,6
个,41153,7
我,40312,8
不,38882,9
这,33618,10
就,30296,11
他,29943,12
也,29754,13
人,24162,14
上,21414,15
都,20356,16
与,19897,17
说,19534,18
而,19076,19
我们,18148,20
中,17809,21
为,17565,22
对,17476,23
要,17433,24
你,17292,25
和,17272,26
之,17089,27
会,14974,28
来,14790,29
以,14785,30
及,13715,31
将,13172,32
很,12990,33
那,12636,34
种,12483,35
大,11551,36
能,11277,37
着,11218,38
到,10850,39
她,10757,40
年,10444,41
并,10373,42
但,10181,43
还,9960,44
可以,9893,45
时,9866,46
所,9825,47
没有,9777,48
好,9416,49
最,9392,50
等,9078,51
自己,9060,52
又,9042,53
各,9036,54
台湾,8959,55
地,8810,56
他们,8803,57
两,8732,58
可,8713,59
去,8683,60
后,8485,61
或,8332,62
得,8239,63
只,7823,64
因为,7577,65
看,7461,66
做,7428,67
于,7416,68
把,7390,69
从,7347,70
每,7330,71
才,7322,72
里,7319,73
由,7295,74
更,7276,75
多,7253,76
被,7237,77
已,7189,78
次,7171,79
者,7136,80
下,7035,81
三,6951,82
什么,6720,83
问题,6663,84
其,6643,85
让,6605,86
此,6583,87
则,6566,88
所以,6517,89
再,6492,90
却,6366,91
位,6230,92
想,5893,93
天,5736,94
过,5707,95
呢,5575,96
工作,5476,97
学生,5468,98
表示,5419,99
公司,5397,100
如果,5324,101
社会,5263,102
前,5222,103
用,5078,104
小,5064,105
新,4976,106
它,4963,107
但是,4956,108
可能,4945,109
因此,4944,110
内,4937,111
目前,4809,112
研究,4730,113
家,4680,114
使,4654,115
全,4547,116
该,4463,117
觉得,4437,118
本,4414,119
像,4412,120
使用,4390,121
这些,4374,122
如,4367,123
跟,4244,124
这样,4241,125
现在,4224,126
时候,4174,127
知道,4155,128
由于,4154,129
啊,4096,130
认为,4053,131
时间,4022,132
事,4006,133
向,3973,134
发展,3953,135
生活,3953,135
中国,3905,137
第一,3845,138
美国,3807,139
几,3785,140
当,3780,141
希望,3709,142
给,3663,143
系统,3619,144
政府,3603,145
活动,3596,146
大家,3571,147
许多,3551,148
国家,3541,149
大学,3507,150
已经,3493,151
应,3486,152
因,3484,153
开始,3470,154
二,3445,155
至,3420,156
不同,3395,157
四,3391,158
世界,3358,159
高,3348,160
方式,3328,161
项,3311,162
环境,3262,163
一些,3245,164
必须,3223,165
文化,3212,166
孩子,3193,167
外,3189,168
计划,3178,169
比,3171,170
不能,3139,171
网络,3132,172
元,3125,173
没,3102,174
仍,3074,175
日本,3046,176
较,3028,177
中心,3013,178
关系,3007,179
虽然,2998,180
很多,2993,181
重要,2979,182
地方,2974,183
教育,2948,184
进行,2946,185
市场,2932,186
不过,2925,187
比较,2920,188
经济,2910,189
如何,2907,190
需要,2903,191
应该,2897,192
太,2887,193
提供,2862,194
老师,2859,195
学校,2843,196
名,2823,197
其他,2812,198
指出,2786,199
成为,2759,200
便,2746,201
非常,2745,202
正,2714,203
设计,2697,204
发现,2682,205
吃,2653,206
之后,2649,207
方面,2638,208
而且,2637,209
然后,2633,210
一样,2621,211
同时,2617,212
无,2617,212
计算机,2615,214
未,2602,215
心,2596,216
企业,2580,217
无法,2576,218
曾,2575,219
不会,2568,220
服务,2565,221
五,2556,222
吗,2553,223
看到,2548,224
空间,2548,224
可是,2534,226
今天,2528,227
台北,2527,228
国内,2517,229
对于,2507,230
们,2503,231
先,2502,232
以及,2500,233
信息,2486,234
人员,2460,235
一定,2459,236
产品,2455,237
资料,2435,238
了解,2434,239
先生,2422,240
管理,2407,241
间,2397,242
些,2397,242
除了,2393,244
另,2387,245
影响,2372,246
即,2352,247
未来,2350,248
大陆,2336,249
岁,2325,250
起,2299,251
请,2291,252
一般,2289,253
国,2284,254
月,2278,255
主要,2275,256
第二,2259,257
若,2259,257
还是,2239,259
结果,2195,260
那么,2186,261
真,2180,262
亦,2179,263
点,2173,264
技术,2163,265
地区,2161,266
相当,2158,267
自然,2156,268
不要,2152,269
其实,2146,270
特别,2145,271
要求,2139,272
发生,2135,273
国际,2132,274
甚至,2121,275
参加,2118,276
其中,2112,277
问,2104,278
讲,2083,279
包括,2074,280
造成,2052,281
分,2049,282
常,2037,283
怎么,2028,284
决定,2007,285
受,2004,286
喜欢,1986,287
见,1985,288
走,1978,289
整,1973,290
作,1973,290
最后,1969,292
今年,1960,293
当然,1959,294
爱,1949,295
一直,1949,295
政治,1949,295
吧,1948,298
出现,1944,299
话,1943,300
是否,1934,301
过去,1927,302
单位,1925,303
听,1911,304
昨天,1910,305
历史,1904,306
以后,1892,307
且,1891,308
处理,1890,309
所有,1882,310
个人,1862,311
代表,1861,312
选择,1859,313
机会,1846,314
只要,1825,315
令,1822,316
钱,1820,317
另外,1819,318
朋友,1813,319
呀,1809,320
六,1795,321
情况,1784,322
方法,1780,323
场,1775,324
经验,1767,325
当时,1764,326
东西,1763,327
十,1762,328
任何,1761,329
你们,1760,330
艺术,1760,330
提出,1756,332
妈妈,1751,333
为什么,1749,334
增加,1748,335
组织,1743,336
叫,1742,337
您,1742,337
之间,1741,339
传统,1730,340
利用,1721,341
找,1720,342
条,1718,343
有关,1715,344
能够,1707,345
的话,1706,346
成长,1702,347
学习,1687,348
开放,1683,349
半,1679,350
如此,1676,351
带,1672,352
处,1669,353
非,1669,353
谁,1669,353
件,1664,356
时代,1658,357
言,1655,358
同学,1653,359
完成,1650,360
考虑,1644,361
完全,1640,362
别人,1636,363
能力,1633,364
都市,1632,365
自,1630,366
生命,1627,367
快,1616,368
约,1610,369
容易,1607,370
会议,1605,371
开发,1602,372
书,1602,372
事情,1601,374
小学,1588,375
事实,1587,376
民众,1573,377
长,1565,378
建筑,1562,379
以上,1560,380
知,1553,381
经过,1549,382
产生,1545,383
相关,1543,384
建立,1542,385
均,1538,386
只是,1538,386
成,1537,388
解决,1531,389
训练,1530,390
道,1529,391
规划,1523,392
接受,1522,393
手,1519,394
连,1517,395
业者,1514,396
教授,1484,397
起来,1480,398
推动,1476,399
过程,1475,400
基本,1475,400
打,1471,402
表现,1455,403
同,1453,404
告诉,1451,405
张,1443,406
功能,1442,407
难,1439,408
真正,1439,408
这么,1436,410
水,1434,411
运动,1432,412
讨论,1427,413
小朋友,1426,414
内容,1415,415
应用,1414,416
调查,1409,417
我国,1408,418
身,1404,419
校,1396,420
日,1394,421
成立,1390,422
出,1386,423
规定,1382,424
经营,1380,425
然而,1378,426
去年,1375,427
写,1374,428
家庭,1373,429
父母,1371,430
人类,1368,431
投资,1368,431
买,1363,433
至于,1362,434
以前,1360,435
例如,1348,436
尤其,1346,437
依,1342,438
配合,1337,439
经,1335,440
得到,1333,441
一点,1332,442
作品,1332,442
